Sample,Target,Cq,SD
I.GFP.10.2nd,ACT7,19.69993728,0.006674409
I.GFP.10.2nd,ACT7,19.70937632,0.006674409
I.GFP.10.2nd,ACT7,NA,NA
I.GFP.10.2nd,HYD1,24.78393461,0.039891684
I.GFP.10.2nd,HYD1,24.72751925,0.039891684
I.GFP.10.2nd,HYD1,NA,NA
I.GFP.10.2nd,PP2A1,25.2459849,0.027964984
I.GFP.10.2nd,PP2A1,25.28553336,0.027964984
I.GFP.10.2nd,PP2A1,NA,NA
I.GFP.10.2nd,TBL6,27.50538257,0.103804697
I.GFP.10.2nd,TBL6,27.65218458,0.103804697
I.GFP.10.2nd,TBL6,NA,NA
I.GFP.10.2nd,TMN5,27.71759531,0.004019817
I.GFP.10.2nd,TMN5,27.71191043,0.004019817
I.GFP.10.2nd,TMN5,NA,NA
I.GFP.10.2nd,UBQ14,19.76828854,0.065898399
I.GFP.10.2nd,UBQ14,19.86148295,0.065898399
I.GFP.10.2nd,UBQ14,NA,NA
I.GFP.10.2nd,UBQ7,24.62158385,0.048259027
I.GFP.10.2nd,UBQ7,24.55333528,0.048259027
I.GFP.10.2nd,UBQ7,NA,NA
I.GFP.10.4th,ACT7,21.03070982,0.001458874
I.GFP.10.4th,ACT7,21.03277298,0.001458874
I.GFP.10.4th,ACT7,NA,NA
I.GFP.10.4th,HYD1,25.78210169,0.150526869
I.GFP.10.4th,HYD1,25.99497883,0.150526869
I.GFP.10.4th,HYD1,NA,NA
I.GFP.10.4th,PP2A1,26.02386979,0.110013441
I.GFP.10.4th,PP2A1,26.17945229,0.110013441
I.GFP.10.4th,PP2A1,NA,NA
I.GFP.10.4th,TBL6,28.57279741,0.080432732
I.GFP.10.4th,TBL6,28.45904835,0.080432732
I.GFP.10.4th,TBL6,NA,NA
I.GFP.10.4th,TMN5,28.47341385,0.040824053
I.GFP.10.4th,TMN5,28.41567992,0.040824053
I.GFP.10.4th,TMN5,NA,NA
I.GFP.10.4th,UBQ14,26.49888414,0.175842324
I.GFP.10.4th,UBQ14,26.25020554,0.175842324
I.GFP.10.4th,UBQ14,NA,NA
I.GFP.10.4th,UBQ7,21.08252163,0.026648203
I.GFP.10.4th,UBQ7,21.04483538,0.026648203
I.GFP.10.4th,UBQ7,NA,NA
I.GFP.11.2nd,ACT7,20.2374076,0.00319917
I.GFP.11.2nd,ACT7,20.24193191,0.00319917
I.GFP.11.2nd,ACT7,NA,NA
I.GFP.11.2nd,HYD1,27.42391414,0.068999494
I.GFP.11.2nd,HYD1,27.52149416,0.068999494
I.GFP.11.2nd,HYD1,NA,NA
I.GFP.11.2nd,PP2A1,26.13956177,0.054432401
I.GFP.11.2nd,PP2A1,26.21654081,0.054432401
I.GFP.11.2nd,PP2A1,NA,NA
I.GFP.11.2nd,TBL6,29.82250321,0.035594673
I.GFP.11.2nd,TBL6,29.77216474,0.035594673
I.GFP.11.2nd,TBL6,NA,NA
I.GFP.11.2nd,TMN5,30.10105307,0.041068133
I.GFP.11.2nd,TMN5,30.04297396,0.041068133
I.GFP.11.2nd,TMN5,NA,NA
I.GFP.11.2nd,UBQ14,21.80338507,0.077706043
I.GFP.11.2nd,UBQ14,21.69349213,0.077706043
I.GFP.11.2nd,UBQ14,NA,NA
I.GFP.11.2nd,UBQ7,26.12630602,0.036862092
I.GFP.11.2nd,UBQ7,26.17843689,0.036862092
I.GFP.11.2nd,UBQ7,NA,NA
I.GFP.11.4th,ACT7,20.14333881,0.020067351
I.GFP.11.4th,ACT7,20.11495929,0.020067351
I.GFP.11.4th,ACT7,NA,NA
I.GFP.11.4th,HYD1,26.85714461,0.084234668
I.GFP.11.4th,HYD1,26.7380188,0.084234668
I.GFP.11.4th,HYD1,NA,NA
I.GFP.11.4th,PP2A1,25.89668935,0.000725746
I.GFP.11.4th,PP2A1,25.89771571,0.000725746
I.GFP.11.4th,PP2A1,NA,NA
I.GFP.11.4th,TBL6,29.56674465,0.000176473
I.GFP.11.4th,TBL6,29.56699422,0.000176473
I.GFP.11.4th,TBL6,NA,NA
I.GFP.11.4th,TMN5,28.72088328,0.058677319
I.GFP.11.4th,TMN5,28.80386554,0.058677319
I.GFP.11.4th,TMN5,NA,NA
I.GFP.11.4th,UBQ14,25.60510932,0.020843818
I.GFP.11.4th,UBQ14,25.63458693,0.020843818
I.GFP.11.4th,UBQ14,NA,NA
I.GFP.11.4th,UBQ7,21.92211056,0.03697595
I.GFP.11.4th,UBQ7,21.86981867,0.03697595
I.GFP.11.4th,UBQ7,NA,NA
I.GFP.12.2nd,ACT7,21.12000187,0.238292624
I.GFP.12.2nd,ACT7,21.45699853,0.238292624
I.GFP.12.2nd,ACT7,NA,NA
I.GFP.12.2nd,HYD1,28.00468284,0.01681087
I.GFP.12.2nd,HYD1,28.028457,0.01681087
I.GFP.12.2nd,HYD1,NA,NA
I.GFP.12.2nd,PP2A1,26.55858144,0.107696966
I.GFP.12.2nd,PP2A1,26.71088795,0.107696966
I.GFP.12.2nd,PP2A1,NA,NA
I.GFP.12.2nd,TBL6,30.40178558,0.27839767
I.GFP.12.2nd,TBL6,30.00807182,0.27839767
I.GFP.12.2nd,TBL6,NA,NA
I.GFP.12.2nd,TMN5,28.95920099,0.098770832
I.GFP.12.2nd,TMN5,29.09888404,0.098770832
I.GFP.12.2nd,TMN5,NA,NA
I.GFP.12.2nd,UBQ14,26.66615428,0.357894666
I.GFP.12.2nd,UBQ14,26.16001479,0.357894666
I.GFP.12.2nd,UBQ14,NA,NA
I.GFP.12.2nd,UBQ7,20.77835967,0.064132612
I.GFP.12.2nd,UBQ7,20.86905688,0.064132612
I.GFP.12.2nd,UBQ7,NA,NA
I.GFP.13.2nd,ACT7,20.62833173,0.023957209
I.GFP.13.2nd,ACT7,20.66221234,0.023957209
I.GFP.13.2nd,ACT7,NA,NA
I.GFP.13.2nd,HYD1,27.36523182,0.049440411
I.GFP.13.2nd,HYD1,27.29531252,0.049440411
I.GFP.13.2nd,HYD1,NA,NA
I.GFP.13.2nd,PP2A1,26.08906215,0.029147472
I.GFP.13.2nd,PP2A1,26.1302829,0.029147472
I.GFP.13.2nd,PP2A1,NA,NA
I.GFP.13.2nd,TBL6,29.65575314,0.0676396
I.GFP.13.2nd,TBL6,29.75140998,0.0676396
I.GFP.13.2nd,TBL6,NA,NA
I.GFP.13.2nd,TMN5,29.10164474,0.042003543
I.GFP.13.2nd,TMN5,29.16104672,0.042003543
I.GFP.13.2nd,TMN5,NA,NA
I.GFP.13.2nd,UBQ14,26.31685855,0.058934246
I.GFP.13.2nd,UBQ14,26.40020416,0.058934246
I.GFP.13.2nd,UBQ14,NA,NA
I.GFP.13.2nd,UBQ7,20.75784225,8.341792311
I.GFP.13.2nd,UBQ7,21.64776862,8.341792311
I.GFP.13.2nd,UBQ7,35.63064381,8.341792311
I.GFP.13.4th,ACT7,21.06041786,0.002075754
I.GFP.13.4th,ACT7,21.0574823,0.002075754
I.GFP.13.4th,ACT7,NA,NA
I.GFP.13.4th,HYD1,27.88346889,0.154125336
I.GFP.13.4th,HYD1,28.10143503,0.154125336
I.GFP.13.4th,HYD1,NA,NA
I.GFP.13.4th,PP2A1,27.27431263,0.086578642
I.GFP.13.4th,PP2A1,27.39675332,0.086578642
I.GFP.13.4th,PP2A1,NA,NA
I.GFP.13.4th,TBL6,31.10403683,0.203103299
I.GFP.13.4th,TBL6,31.39126827,0.203103299
I.GFP.13.4th,TBL6,NA,NA
I.GFP.13.4th,TMN5,29.54256701,0.002934691
I.GFP.13.4th,TMN5,29.54671729,0.002934691
I.GFP.13.4th,TMN5,NA,NA
I.GFP.13.4th,UBQ14,27.52770552,0.028957324
I.GFP.13.4th,UBQ14,27.48675368,0.028957324
I.GFP.13.4th,UBQ14,NA,NA
I.GFP.13.4th,UBQ7,23.29851142,0.167898934
