Sample,plant.ID,Target,Cq,group,,,
I.GFP.3.4th,GFP 3,ACT7,21.55990409,vigs_infiltrated,,,
I.GFP.4.2nd,GFP 4,ACT7,21.33458038,vigs_infiltrated,,,
I.GFP.7.4th,GFP 7,ACT7,22.35163786,vigs_infiltrated,,,
I.GFP.8.2nd,GFP 8,ACT7,22.72345293,vigs_infiltrated,,,
I.GFP1.2nd,GFP 1,ACT7,20.08125412,vigs_infiltrated,,,
I.HYD.1.2nd,HYD 1,ACT7,19.90160344,vigs_infiltrated,,,
I.HYD.1.4th,HYD 1,ACT7,23.37852592,vigs_infiltrated,,,
I.HYD.10.2nd,HYD 10,ACT7,20.40577364,vigs_infiltrated,,,
I.HYD.10.4th,HYD 10,ACT7,21.00150163,vigs_infiltrated,,,
I.HYD.11.2nd,HYD 11,ACT7,23.02720544,vigs_infiltrated,,,
I.HYD.11.4th,HYD 11,ACT7,21.67797103,vigs_infiltrated,,,
I.HYD.12.2nd,HYD 12,ACT7,21.27638054,vigs_infiltrated,,,
I.HYD.12.4th,HYD 12,ACT7,28.42866688,vigs_infiltrated,,,
I.HYD.13.2nd,HYD 13,ACT7,19.95857425,vigs_infiltrated,,,
I.HYD.13.4th,HYD 13,ACT7,21.29535615,vigs_infiltrated,,,
I.HYD.15.2nd,HYD 15,ACT7,20.55656208,vigs_infiltrated,,,
I.HYD.15.4th,HYD 15,ACT7,20.40135032,vigs_infiltrated,,,
I.HYD.16.2nd,HYD 16,ACT7,21.38219891,vigs_infiltrated,,,
I.HYD.17.2nd,HYD 17,ACT7,23.44894097,vigs_infiltrated,,,
I.HYD.18.2nd,HYD 18,ACT7,20.28918524,vigs_infiltrated,,,
I.HYD.18.4th,HYD 18,ACT7,22.13388359,vigs_infiltrated,,,
I.HYD.19.4th,HYD 19,ACT7,21.6732732,vigs_infiltrated,,,
I.HYD.2.2nd,HYD 2,ACT7,21.01884449,vigs_infiltrated,,,
I.HYD.2.4th,HYD 2,ACT7,20.79929176,vigs_infiltrated,,,
I.HYD.20.2nd,HYD 20,ACT7,23.00627115,vigs_infiltrated,,,
I.HYD.20.4th,HYD 20,ACT7,27.38924767,vigs_infiltrated,,,
I.HYD.21.2nd,HYD 21,ACT7,21.27038773,vigs_infiltrated,,,
I.HYD.21.4th,HYD 21,ACT7,22.65674254,vigs_infiltrated,,,
I.HYD.22.2nd,HYD 22,ACT7,23.79530752,vigs_infiltrated,,,
I.HYD.22.4th,HYD 22,ACT7,21.40918022,vigs_infiltrated,,,
I.HYD.23.2nd,HYD 23,ACT7,20.2952616,vigs_infiltrated,,,
I.HYD.23.4th,HYD 23,ACT7,19.5600425,vigs_infiltrated,,,
I.HYD.24.2nd,HYD 24,ACT7,20.91515225,vigs_infiltrated,,,
I.HYD.25.2nd,HYD 25,ACT7,23.58734379,vigs_infiltrated,,,
I.HYD.26.2nd,HYD 26,ACT7,20.49589084,vigs_infiltrated,,,
I.HYD.26.4th,HYD 26,ACT7,20.2294558,vigs_infiltrated,,,
I.HYD.27.2nd,HYD 27,ACT7,20.26594755,vigs_infiltrated,,,
I.HYD.27.4th,HYD 27,ACT7,20.67036651,vigs_infiltrated,,,
I.HYD.28.2nd,HYD 28,ACT7,21.85235478,vigs_infiltrated,,,
I.HYD.28.4th,HYD 28,ACT7,23.70109786,vigs_infiltrated,,,
I.HYD.3.2nd,HYD 3,ACT7,20.80651584,vigs_infiltrated,,,
I.HYD.3.4th,HYD 3,ACT7,25.75131854,vigs_infiltrated,,,
I.HYD.4.2nd,HYD 4,ACT7,21.42555312,vigs_infiltrated,,,
I.HYD.4.4th,HYD 4,ACT7,22.07515365,vigs_infiltrated,,,
I.HYD.5.2nd,HYD 5,ACT7,21.56070163,vigs_infiltrated,,,
I.HYD.5.4th,HYD 5,ACT7,20.96988043,vigs_infiltrated,,,
I.HYD.6.2nd,HYD 6,ACT7,21.82834954,vigs_infiltrated,,,
I.HYD.6.4th,HYD 6,ACT7,20.8752277,vigs_infiltrated,,,
I.HYD.7.2nd,HYD 7,ACT7,20.52056957,vigs_infiltrated,,,
I.HYD.8.2nd,HYD 8,ACT7,21.33189081,vigs_infiltrated,,,
I.HYD.9.2nd,HYD 9,ACT7,21.1843812,vigs_infiltrated,,,
I.Unif.11.4th,Unif 11,ACT7,21.44313193,uninfiltrated,,,
I.Unif.15.4th,Unif 15,ACT7,19.38946544,uninfiltrated,,,
I.Unif.16.2ndd,Unif 16,ACT7,23.2525637,uninfiltrated,,,
I.Unif.16.4th,Unif 16,ACT7,26.61577042,uninfiltrated,,,
I.Unif.17.2nd,Unif 17,ACT7,21.20383362,uninfiltrated,,,
I.Unif.17.4th,Unif 17,ACT7,20.53876327,uninfiltrated,,,
I.Unif.18.4th,Unif 18,ACT7,22.53402362,uninfiltrated,,,
I.Unif.2.2nd,Unif 2,ACT7,22.03049652,uninfiltrated,,,
I.Unif.20.4th,Unif 20,ACT7,30.92825118,uninfiltrated,,,
I.Unif.21.4th,Unif 21,ACT7,23.27726865,uninfiltrated,,,
I.Unif.24.4th,Unif 24,ACT7,21.23007123,uninfiltrated,,,
I.Unif.3.4th,Unif 3,ACT7,19.63101849,uninfiltrated,,,
I.Unif.5.2nd,Unif 5,ACT7,22.54765632,uninfiltrated,,,
I.Unif.6.2nd,Unif 6,ACT7,20.58800198,uninfiltrated,,,
I.Unif.8.4th,Unif 8,ACT7,20.79939787,uninfiltrated,,,
I.Unif.9.4th,Unif 9,ACT7,21.33352932,uninfiltrated,,,
I.GFP.3.2nd,GFP 3,ACT7,22.01933646,unifested,,,
I.GFP.10.4th,GFP 10,ACT7,21.0317414,infested,,,
I.GFP.11.2nd,GFP 11,ACT7,20.23966976,unifested,,,
I.GFP.11.4th,GFP 11,ACT7,20.12914905,unifested,,,
I.GFP.16.2nd,GFP 16,ACT7,20.40786468,unifested,,,
I.GFP.16.4th,GFP 16,ACT7,23.06034004,unifested,,,
I.GFP.17.2nd,GFP 17,ACT7,22.54702922,infested,,,
I.GFP.18.4th,GFP 18,ACT7,21.06003643,infested,,,
I.GFP.19.2nd,GFP 19,ACT7,20.48244035,unifested,,,
I.GFP.2.2nd,GFP 2,ACT7,21.33276715,infested,,,
I.GFP.21.2nd,GFP 21,ACT7,20.8446044,infested,,,
I.GFP.22.2nd,GFP 22,ACT7,20.36364741,infested,,,
I.GFP.22.4th,GFP 22,ACT7,21.97936518,infested,,,
I.GFP.23.2nd,GFP 23,ACT7,19.53893456,unifested,,,
I.GFP.24.2nd,GFP 24,ACT7,21.31140979,unifested,,,
I.GFP.25.4th,GFP 25,ACT7,20.94867805,infested,,,
I.GFP.26.4th,GFP 26,ACT7,21.64340221,infested,,,
I.GFP.27.2nd,GFP 27,ACT7,22.30258402,unifested,,,
I.GFP.27.4th,GFP 27,ACT7,21.17156622,unifested,,,
I.GFP.4.4th,GFP 4,ACT7,22.88035385,unifested,,,
I.GFP.5.2nd,GFP 5,ACT7,21.4365002,infested,,,
I.GFP.7.2nd,GFP 7,ACT7,20.37771805,unifested,,,
I.GFP.8.4th,GFP 8,ACT7,23.11041137,unifested,,,
I.GFP.9.2nd,GFP 9,ACT7,21.40238773,infested,,,
I.GFP.9.4th,GFP 9,ACT7,20.9537431,infested,,,
I.Unif.1.2nd,Unif 1,ACT7,22.88031614,infested,,,
I.Unif.1.4th,Unif 1,ACT7,21.06256264,infested,,,
I.Unif.11.2nd,Unif 11,ACT7,21.13567318,unifested,,,
I.Unif.12.2nd,Unif 12,ACT7,21.72836347,unifested,,,
I.Unif.12.4th,Unif 12,ACT7,22.92442212,unifested,,,
I.Unif.13.2nd,Unif 13,ACT7,22.27360775,infested,,,
