Sample	Detector	Cq
Unif.21.2nd	ACT7	20.93
Unif.21.2nd	PP2A1	26.87
Unif.21.2nd	TMN5	29.2
Unif.21.2nd	UBQ14	26.3
Unif.21.2nd	UBQ7	21.48
I.GFP.11.2nd	ACT7	20.19
I.GFP.11.4th	ACT7	19.99
I.GFP.11.2nd	PP2A1	26.44
I.GFP.11.4th	PP2A1	26.06
I.GFP.11.2nd	TMN5	29.99
I.GFP.11.4th	TMN5	28.46
I.GFP.11.2nd	UBQ14	22.07
I.GFP.11.4th	UBQ14	25.77
I.GFP.11.2nd	UBQ7	26.27
I.GFP.11.4th	UBQ7	22.23
I.GFP.17.2nd	ACT7	22.6
I.GFP.17.2nd	PP2A1	28.64
I.GFP.17.2nd	TMN5	31.41
I.GFP.17.2nd	UBQ14	28.7
I.GFP.17.2nd	UBQ7	23.72
I.GFP.19.2nd	ACT7	20.53
I.GFP.19.2nd	PP2A1	26.23
I.GFP.19.2nd	TMN5	30.88
I.GFP.19.2nd	UBQ14	26.39
I.GFP.19.2nd	UBQ7	22.46
I.GFP.21.2nd	ACT7	20.76
I.GFP.21.2nd	PP2A1	27.13
I.GFP.21.2nd	TMN5	29.75
I.GFP.21.2nd	UBQ14	22.11
I.GFP.21.2nd	UBQ7	26.33
I.GFP.23.2nd	ACT7	19.45
I.GFP.23.2nd	PP2A1	26.16
I.GFP.23.2nd	TMN5	29.03
I.GFP.23.2nd	UBQ14	25.74
I.GFP.23.2nd	UBQ7	20.42
I.GFP.25.4th	ACT7	21.13
I.GFP.25.4th	PP2A1	27.29
I.GFP.25.4th	TMN5	29.56
I.GFP.25.4th	UBQ14	27.72
I.GFP.25.4th	UBQ7	22.66
I.GFP.27.2nd	ACT7	22.25
I.GFP.27.4th	ACT7	21.15
I.GFP.27.2nd	PP2A1	27.83
I.GFP.27.4th	PP2A1	26.89
I.GFP.27.2nd	TMN5	32.05
I.GFP.27.4th	TMN5	31.3
I.GFP.27.2nd	UBQ14	28.26
I.GFP.27.4th	UBQ14	27.12
I.GFP.27.2nd	UBQ7	23.87
I.GFP.27.4th	UBQ7	22.75
I.GFP.3.2nd	ACT7	21.97
I.GFP.3.2nd	PP2A1	27.71
I.GFP.3.2nd	TMN5	31.58
I.GFP.3.2nd	UBQ14	28.05
I.GFP.3.2nd	UBQ7	23.59
I.GFP.5.2nd	ACT7	21.41
I.GFP.5.2nd	PP2A1	27.3
I.GFP.5.2nd	TMN5	29.51
I.GFP.5.2nd	UBQ14	22.28
I.GFP.5.2nd	UBQ7	26.57
I.GFP.7.2nd	ACT7	20.23
I.GFP.7.2nd	PP2A1	25.91
I.GFP.7.2nd	TMN5	30.39
I.GFP.7.2nd	UBQ14	26.02
I.GFP.7.2nd	UBQ7	21.48
I.GFP.9.2nd	ACT7	21.66
I.GFP.9.4th	ACT7	21.04
I.GFP.9.2nd	PP2A1	27.29
I.GFP.9.4th	PP2A1	26.87
I.GFP.9.2nd	TMN5	30.04
I.GFP.9.4th	TMN5	29.5
I.GFP.9.2nd	UBQ14	27.01
I.GFP.9.4th	UBQ14	26.81
I.GFP.9.2nd	UBQ7	22.71
I.GFP.9.4th	UBQ7	22.04
I.Unif.1.2nd	ACT7	23.05
I.Unif.1.4th	ACT7	21.05
I.Unif.1.2nd	PP2A1	30.73
I.Unif.1.4th	PP2A1	27.12
I.Unif.1.2nd	TMN5	32.72
I.Unif.1.4th	TMN5	29.67
I.Unif.1.2nd	UBQ14	29.27
I.Unif.1.4th	UBQ14	27.1
I.Unif.1.2nd	UBQ7	28.72
I.Unif.1.4th	UBQ7	21.15
I.Unif.11.2nd	ACT7	21.18
I.Unif.11.2nd	PP2A1	26.72
I.Unif.11.2nd	TMN5	30.11
I.Unif.11.2nd	UBQ14	27.38
I.Unif.11.2nd	UBQ7	22.13
I.Unif.13.2nd	ACT7	22.35
I.Unif.13.2nd	PP2A1	28.47
I.Unif.13.2nd	TMN5	30.66
I.Unif.13.2nd	UBQ14	23.51
I.Unif.13.2nd	UBQ7	27.73
I.Unif.15.2nd	ACT7	21.37
I.Unif.15.2nd	PP2A1	27.83
I.Unif.15.2nd	TMN5	31.99
I.Unif.15.2nd	UBQ14	28.18
I.Unif.15.2nd	UBQ7	23.32
I.Unif.19.2nd	ACT7	20.81
I.Unif.19.2nd	PP2A1	26.97
I.Unif.19.2nd	TMN5	30.62
I.Unif.19.2nd	UBQ14	26.88
I.Unif.19.2nd	UBQ7	21.02
I.Unif.23.2nd	ACT7	22.51
I.Unif.23.2nd	PP2A1	28.6
I.Unif.23.2nd	TMN5	31.74
I.Unif.23.2nd	UBQ14	22.83
I.Unif.23.2nd	UBQ7	28.19
I.Unif.3.2nd	ACT7	20.42
I.Unif.3.2nd	PP2A1	27.39
I.Unif.3.2nd	TMN5	30.25
I.Unif.3.2nd	UBQ14	26.29
I.Unif.3.2nd	UBQ7	22.08
I.Unif.7.2nd	ACT7	20.69
I.Unif.7.4th	ACT7	20.9
I.Unif.7.2nd	PP2A1	26.5
I.Unif.7.4th	PP2A1	26.71
I.Unif.7.2nd	TMN5	30.78
I.Unif.7.4th	TMN5	30.55
I.Unif.7.2nd	UBQ14	26.94
I.Unif.7.4th	UBQ14	27.54
I.Unif.7.2nd	UBQ7	22.29
I.Unif.7.4th	UBQ7	21.5
I.Unif.9.2nd	ACT7	20.66
I.Unif.9.2nd	PP2A1	26.62
I.Unif.9.2nd	TMN5	30.21
I.Unif.9.2nd	UBQ14	26.34
I.Unif.9.2nd	UBQ7	21.93
