Sample,ACT7,PP2A1,TMN5,UBQ14,UBQ7,Group
I.Unif.20.2nd,21.47,26.82,29.87,27.04,21.39,uninfiltrated
I.Unif.23.2nd,22.51,28.6,31.74,22.83,28.19,uninfiltrated
I.Unif.24.2nd,23.78,30.29,33.25,29.17,24.72,uninfiltrated
I.Unif.3.2nd,20.42,27.39,30.25,26.29,22.08,uninfiltrated
I.Unif.7.2nd,20.69,26.5,30.78,26.94,22.29,uninfiltrated
I.Unif.7.4th,20.9,26.71,30.55,27.54,21.5,uninfiltrated
I.Unif.8.2nd,22.12,28.22,31.6,27.27,23.78,uninfiltrated
I.Unif.9.2nd,20.66,26.62,30.21,26.34,21.93,uninfiltrated
I.GFP.10.4th,20.87,26.26,28.34,26.53,21.16,vigs_infiltrated
I.GFP.11.2nd,20.19,26.44,29.99,22.07,26.27,vigs_infiltrated
I.GFP.11.4th,19.99,26.06,28.46,25.77,22.23,vigs_infiltrated
I.GFP.16.2nd,20.58,26.64,29.65,26.16,21.51,vigs_infiltrated
I.GFP.16.4th,23.16,29.7,32.24,29.65,25.1,vigs_infiltrated
I.GFP.17.2nd,22.6,28.64,31.41,28.7,23.72,vigs_infiltrated
I.GFP.18.4th,20.9,26.56,28.83,21.6,26.13,vigs_infiltrated
I.GFP.19.2nd,20.53,26.23,30.88,26.39,22.46,vigs_infiltrated
I.GFP.2.2nd,21.24,26.41,29.56,26.41,21.58,vigs_infiltrated
I.GFP.21.2nd,20.76,27.13,29.75,22.11,26.33,vigs_infiltrated
I.GFP.22.2nd,20.33,26.23,28.89,26.11,21.1,vigs_infiltrated
I.GFP.22.4th,22.07,28.67,31.49,28.66,23.95,vigs_infiltrated
I.GFP.23.2nd,19.45,26.16,29.03,25.74,20.42,vigs_infiltrated
I.GFP.24.2nd,21.4,27.04,30.31,26.89,21.98,vigs_infiltrated
I.GFP.25.4th,21.13,27.29,29.56,27.72,22.66,vigs_infiltrated
I.GFP.26.4th,21.58,26.8,30.82,22.45,27.52,vigs_infiltrated
I.GFP.27.2nd,22.25,27.83,32.05,28.26,23.87,vigs_infiltrated
I.GFP.27.4th,21.15,26.89,31.3,27.12,22.75,vigs_infiltrated
I.GFP.3.2nd,21.97,27.71,31.58,28.05,23.59,vigs_infiltrated
I.GFP.4.4th,22.95,28.96,32.26,28.13,23.84,vigs_infiltrated
I.GFP.5.2nd,21.41,27.3,29.51,22.28,26.57,vigs_infiltrated
I.GFP.7.2nd,20.23,25.91,30.39,26.02,21.48,vigs_infiltrated
