Sample	Detector	Cq
I.GFP.10.4th	ACT7	21.0317414
I.GFP.11.2nd	ACT7	20.23966976
I.GFP.11.4th	ACT7	20.12914905
I.GFP.18.4th	ACT7	21.06003643
I.GFP.2.2nd	ACT7	21.33276715
I.GFP.21.2nd	ACT7	20.8446044
I.GFP.23.2nd	ACT7	19.53893456
I.GFP.25.4th	ACT7	20.94867805
I.GFP.26.4th	ACT7	21.64340221
I.GFP.4.4th	ACT7	22.88035385
I.GFP.5.2nd	ACT7	21.4365002
I.GFP.7.2nd	ACT7	20.37771805
I.GFP.9.2nd	ACT7	21.40238773
I.Unif.13.2nd	ACT7	22.27360775
I.Unif.15.2nd	ACT7	21.26551819
I.Unif.18.2nd	ACT7	20.45330671
I.Unif.2.4th	ACT7	20.98599027
I.Unif.3.2nd	ACT7	20.28574997
I.Unif.8.2nd	ACT7	22.20705562
I.GFP.10.2nd	ACT7	19.7046568
I.GFP.12.2nd	ACT7	21.2885002
I.GFP.13.4th	ACT7	21.05895008
I.GFP.14.2nd	ACT7	20.54125496
I.GFP.18.2nd	ACT7	20.57899922
I.GFP.20.2nd	ACT7	20.21845789
I.GFP.26.2nd	ACT7	21.58653404
I.GFP.28.2nd	ACT7	23.87479838
I.GFP.3.4th	ACT7	21.55990409
I.GFP.4.2nd	ACT7	21.33458038
I.GFP1.2nd	ACT7	20.08125412
I.HYD.10.4th	ACT7	21.00150163
I.HYD.11.4th	ACT7	21.67797103
I.HYD.12.2nd	ACT7	21.27638054
I.HYD.13.2nd	ACT7	19.95857425
I.HYD.15.2nd	ACT7	20.55656208
I.HYD.16.2nd	ACT7	21.38219891
I.HYD.18.2nd	ACT7	20.28918524
I.HYD.18.4th	ACT7	22.13388359
I.HYD.21.2nd	ACT7	21.27038773
I.HYD.21.4th	ACT7	22.65674254
I.HYD.22.2nd	ACT7	23.79530752
I.HYD.22.4th	ACT7	21.40918022
I.HYD.24.2nd	ACT7	20.91515225
I.HYD.25.2nd	ACT7	23.58734379
I.HYD.26.2nd	ACT7	20.49589084
I.HYD.4.2nd	ACT7	21.42555312
I.HYD.5.2nd	ACT7	21.56070163
I.HYD.5.4th	ACT7	20.96988043
I.HYD.6.2nd	ACT7	21.82834954
I.HYD.6.4th	ACT7	20.8752277
I.HYD.8.2nd	ACT7	21.33189081
I.HYD.9.2nd	ACT7	21.1843812
I.Unif.11.4th	ACT7	21.44313193
I.Unif.17.2nd	ACT7	21.20383362
I.Unif.18.4th	ACT7	22.53402362
I.Unif.21.4th	ACT7	23.27726865
I.Unif.24.4th	ACT7	21.23007123
I.Unif.5.2nd	ACT7	22.54765632
I.Unif.6.2nd	ACT7	20.58800198
I.Unif.8.4th	ACT7	20.79939787
I.Unif.9.4th	ACT7	21.33352932
I.GFP.10.4th	PP2A1	26.10166104
I.GFP.11.2nd	PP2A1	26.17805129
I.GFP.11.4th	PP2A1	25.89720253
I.GFP.18.4th	PP2A1	26.29601744
I.GFP.2.2nd	PP2A1	26.30241621
I.GFP.21.2nd	PP2A1	26.92789436
I.GFP.23.2nd	PP2A1	26.12124151
I.GFP.25.4th	PP2A1	27.17636128
I.GFP.26.4th	PP2A1	26.89788075
I.GFP.4.4th	PP2A1	29.18399446
I.GFP.5.2nd	PP2A1	27.04387053
I.GFP.7.2nd	PP2A1	25.64803727
I.GFP.9.2nd	PP2A1	27.36783296
I.Unif.13.2nd	PP2A1	28.18891356
I.Unif.15.2nd	PP2A1	27.76201422
I.Unif.18.2nd	PP2A1	26.81159226
I.Unif.2.4th	PP2A1	27.03377622
I.Unif.3.2nd	PP2A1	27.42566798
I.Unif.8.2nd	PP2A1	28.00731232
I.GFP.10.2nd	PP2A1	25.26575913
I.GFP.12.2nd	PP2A1	26.6347347
I.GFP.13.4th	PP2A1	27.33553298
I.GFP.14.2nd	PP2A1	26.67705349
I.GFP.18.2nd	PP2A1	26.41320491
I.GFP.20.2nd	PP2A1	26.13905116
I.GFP.26.2nd	PP2A1	26.93192726
I.GFP.28.2nd	PP2A1	29.4491331
I.GFP.3.4th	PP2A1	29.52694415
I.GFP.4.2nd	PP2A1	27.4381851
I.GFP1.2nd	PP2A1	27.94573796
I.HYD.10.4th	PP2A1	27.12590916
I.HYD.11.4th	PP2A1	28.13402925
I.HYD.12.2nd	PP2A1	27.05202604
I.HYD.13.2nd	PP2A1	27.01497469
I.HYD.15.2nd	PP2A1	26.61903659
I.HYD.16.2nd	PP2A1	27.13671352
I.HYD.18.2nd	PP2A1	26.13659643
I.HYD.18.4th	PP2A1	28.93634616
I.HYD.21.2nd	PP2A1	28.52331412
I.HYD.21.4th	PP2A1	28.3886363
I.HYD.22.2nd	PP2A1	28.65835331
I.HYD.22.4th	PP2A1	26.88334039
I.HYD.24.2nd	PP2A1	28.09875649
I.HYD.25.2nd	PP2A1	30.15494214
I.HYD.26.2nd	PP2A1	26.37941705
I.HYD.4.2nd	PP2A1	27.9807059
I.HYD.5.2nd	PP2A1	27.46556204
I.HYD.5.4th	PP2A1	28.09289234
I.HYD.6.2nd	PP2A1	26.83924945
I.HYD.6.4th	PP2A1	26.86195558
I.HYD.8.2nd	PP2A1	27.8147402
I.HYD.9.2nd	PP2A1	26.67536842
I.Unif.11.4th	PP2A1	28.85494298
I.Unif.17.2nd	PP2A1	27.28347183
I.Unif.18.4th	PP2A1	28.2003941
I.Unif.21.4th	PP2A1	30.62996717
I.Unif.24.4th	PP2A1	27.71922051
I.Unif.5.2nd	PP2A1	28.16547843
I.Unif.6.2nd	PP2A1	26.54509941
I.Unif.8.4th	PP2A1	26.32259919
I.Unif.9.4th	PP2A1	27.69024882
I.GFP.10.4th	TBL6	28.51592288
I.GFP.11.2nd	TBL6	29.79733398
I.GFP.11.4th	TBL6	29.56686944
I.GFP.18.4th	TBL6	29.28377267
I.GFP.2.2nd	TBL6	28.37992835
I.GFP.21.2nd	TBL6	30.14914003
I.GFP.23.2nd	TBL6	29.08005991
I.GFP.25.4th	TBL6	31.61443355
I.GFP.26.4th	TBL6	30.66165423
I.GFP.4.4th	TBL6	31.32161568
I.GFP.5.2nd	TBL6	30.59084403
I.GFP.7.2nd	TBL6	29.21364504
I.GFP.9.2nd	TBL6	29.0746075
