Sample	Detector	Cq				
I.GFP.11.2nd	ACT7	20.19				
I.GFP.11.4th	ACT7	19.99				
I.GFP.16.2nd	ACT7	20.58				
I.GFP.16.4th	ACT7	23.16				
I.GFP.19.2nd	ACT7	20.53				
I.GFP.23.2nd	ACT7	19.45				
I.GFP.24.2nd	ACT7	21.4				
I.GFP.27.2nd	ACT7	22.25				
I.GFP.27.4th	ACT7	21.15				
I.GFP.3.2nd	ACT7	21.97				
I.GFP.4.4th	ACT7	22.95				
I.GFP.7.2nd	ACT7	20.23				
I.GFP.8.4th	ACT7	23.15				
I.Unif.11.2nd	ACT7	21.18				
I.Unif.12.2nd	ACT7	21.86				
I.Unif.12.4th	ACT7	22.96				
I.Unif.15.2nd	ACT7	21.37				
I.Unif.19.2nd	ACT7	20.81				
I.Unif.20.2nd	ACT7	21.47				
I.Unif.23.2nd	ACT7	22.51				
I.Unif.24.2nd	ACT7	23.78				
I.Unif.3.2nd	ACT7	20.42				
I.Unif.7.2nd	ACT7	20.69				
I.Unif.7.4th	ACT7	20.9				
I.Unif.8.2nd	ACT7	22.12				
I.GFP.11.2nd	PP2A1	26.44				
I.GFP.11.4th	PP2A1	26.06				
I.GFP.16.2nd	PP2A1	26.64				
I.GFP.16.4th	PP2A1	29.7				
I.GFP.19.2nd	PP2A1	26.23				
I.GFP.23.2nd	PP2A1	26.16				
I.GFP.24.2nd	PP2A1	27.04				
I.GFP.27.2nd	PP2A1	27.83				
I.GFP.27.4th	PP2A1	26.89				
I.GFP.3.2nd	PP2A1	27.71				
I.GFP.4.4th	PP2A1	28.96				
I.GFP.7.2nd	PP2A1	25.91				
I.GFP.8.4th	PP2A1	29.18				
I.Unif.11.2nd	PP2A1	26.72				
I.Unif.12.2nd	PP2A1	28.08				
I.Unif.12.4th	PP2A1	29.29				
I.Unif.15.2nd	PP2A1	27.83				
I.Unif.19.2nd	PP2A1	26.97				
I.Unif.20.2nd	PP2A1	26.82				
I.Unif.23.2nd	PP2A1	28.6				
I.Unif.24.2nd	PP2A1	30.29				
I.Unif.3.2nd	PP2A1	27.39				
I.Unif.7.2nd	PP2A1	26.5				
I.Unif.7.4th	PP2A1	26.71				
I.Unif.8.2nd	PP2A1	28.22				
I.GFP.11.2nd	TMN5	29.99				
I.GFP.11.4th	TMN5	28.46				
I.GFP.16.2nd	TMN5	29.65				
I.GFP.16.4th	TMN5	32.24				
I.GFP.19.2nd	TMN5	30.88				
I.GFP.23.2nd	TMN5	29.03				
I.GFP.24.2nd	TMN5	30.31				
I.GFP.27.2nd	TMN5	32.05				
I.GFP.27.4th	TMN5	31.3				
I.GFP.3.2nd	TMN5	31.58				
I.GFP.4.4th	TMN5	32.26				
I.GFP.7.2nd	TMN5	30.39				
I.GFP.8.4th	TMN5	32.14				
I.Unif.11.2nd	TMN5	30.11				
I.Unif.12.2nd	TMN5	30.97				
I.Unif.12.4th	TMN5	31.66				
I.Unif.15.2nd	TMN5	31.99				
I.Unif.19.2nd	TMN5	30.62				
I.Unif.20.2nd	TMN5	29.87				
I.Unif.23.2nd	TMN5	31.74				
I.Unif.24.2nd	TMN5	33.25				
I.Unif.3.2nd	TMN5	30.25				
I.Unif.7.2nd	TMN5	30.78				
I.Unif.7.4th	TMN5	30.55				
I.Unif.8.2nd	TMN5	31.6				
I.GFP.11.2nd	UBQ14	22.07				
I.GFP.11.4th	UBQ14	25.77				
I.GFP.16.2nd	UBQ14	26.16				
I.GFP.16.4th	UBQ14	29.65				
I.GFP.19.2nd	UBQ14	26.39				
I.GFP.23.2nd	UBQ14	25.74				
I.GFP.24.2nd	UBQ14	26.89				
I.GFP.27.2nd	UBQ14	28.26				
I.GFP.27.4th	UBQ14	27.12				
I.GFP.3.2nd	UBQ14	28.05				
I.GFP.4.4th	UBQ14	28.13				
I.GFP.7.2nd	UBQ14	26.02				
I.GFP.8.4th	UBQ14	29.56				
I.Unif.11.2nd	UBQ14	27.38				
I.Unif.12.2nd	UBQ14	27.4				
I.Unif.12.4th	UBQ14	30.1				
I.Unif.15.2nd	UBQ14	28.18				
I.Unif.19.2nd	UBQ14	26.88				
I.Unif.20.2nd	UBQ14	27.04				
I.Unif.23.2nd	UBQ14	22.83				
I.Unif.24.2nd	UBQ14	29.17				
I.Unif.3.2nd	UBQ14	26.29				
I.Unif.7.2nd	UBQ14	26.94				
I.Unif.7.4th	UBQ14	27.54				
I.Unif.8.2nd	UBQ14	27.27				
I.GFP.11.2nd	UBQ7	26.27				
I.GFP.11.4th	UBQ7	22.23				
I.GFP.16.2nd	UBQ7	21.51				
I.GFP.16.4th	UBQ7	25.1				
I.GFP.19.2nd	UBQ7	22.46				
I.GFP.23.2nd	UBQ7	20.42				
I.GFP.24.2nd	UBQ7	21.98				
I.GFP.27.2nd	UBQ7	23.87				
I.GFP.27.4th	UBQ7	22.75				
I.GFP.3.2nd	UBQ7	23.59				
I.GFP.4.4th	UBQ7	23.84				
I.GFP.7.2nd	UBQ7	21.48				
I.GFP.8.4th	UBQ7	24.16				
I.Unif.11.2nd	UBQ7	22.13				
I.Unif.12.2nd	UBQ7	22.79				
I.Unif.12.4th	UBQ7	24.75				
I.Unif.15.2nd	UBQ7	23.32				
I.Unif.19.2nd	UBQ7	21.02				
I.Unif.20.2nd	UBQ7	21.39				
I.Unif.23.2nd	UBQ7	28.19				
I.Unif.24.2nd	UBQ7	24.72				
I.Unif.3.2nd	UBQ7	22.08				
I.Unif.7.2nd	UBQ7	22.29				
I.Unif.7.4th	UBQ7	21.5				
I.Unif.8.2nd	UBQ7	23.78				
