Sample	Detector	vigs_condition	aphid_status	leaf	dpi
I.GFP.16.2nd	UBQ7	vigs_infiltrated	unifested	2nd	twenty-one
I.GFP.16.4th	UBQ7	vigs_infiltrated	unifested	4th	twenty-one
I.GFP.17.2nd	UBQ7	vigs_infiltrated	infested	2nd	fourteen
I.GFP.18.4th	UBQ7	vigs_infiltrated	infested	4th	twenty-one
I.GFP.19.2nd	UBQ7	vigs_infiltrated	unifested	2nd	fourteen
I.GFP.2.2nd	UBQ7	vigs_infiltrated	infested	2nd	twenty-one
I.GFP.21.2nd	UBQ7	vigs_infiltrated	infested	2nd	fourteen
I.GFP.22.2nd	UBQ7	vigs_infiltrated	infested	2nd	twenty-one
I.GFP.22.4th	UBQ7	vigs_infiltrated	infested	4th	twenty-one
I.GFP.23.2nd	UBQ7	vigs_infiltrated	unifested	2nd	fourteen
I.GFP.24.2nd	UBQ7	vigs_infiltrated	unifested	2nd	twenty-one
I.GFP.25.4th	UBQ7	vigs_infiltrated	infested	4th	fourteen
I.GFP.26.4th	UBQ7	vigs_infiltrated	infested	4th	twenty-one
I.GFP.27.2nd	UBQ7	vigs_infiltrated	unifested	2nd	fourteen
I.GFP.27.4th	UBQ7	vigs_infiltrated	unifested	4th	fourteen
I.GFP.3.2nd	UBQ7	vigs_infiltrated	unifested	2nd	fourteen
I.GFP.4.4th	UBQ7	vigs_infiltrated	unifested	4th	twenty-one
I.GFP.5.2nd	UBQ7	vigs_infiltrated	infested	2nd	fourteen
I.GFP.7.2nd	UBQ7	vigs_infiltrated	unifested	2nd	fourteen
I.GFP.8.4th	UBQ7	vigs_infiltrated	unifested	4th	twenty-one
I.GFP.9.2nd	UBQ7	vigs_infiltrated	infested	2nd	fourteen
I.GFP.9.4th	UBQ7	vigs_infiltrated	infested	4th	fourteen
I.Unif.1.2nd	ACT7	uninfiltrated	infested	2nd	fourteen
I.Unif.1.4th	ACT7	uninfiltrated	infested	4th	fourteen
I.Unif.11.2nd	ACT7	uninfiltrated	unifested	2nd	fourteen
I.Unif.12.2nd	ACT7	uninfiltrated	unifested	2nd	twenty-one
I.Unif.12.4th	ACT7	uninfiltrated	unifested	4th	twenty-one
I.Unif.13.2nd	ACT7	uninfiltrated	infested	2nd	fourteen
I.Unif.15.2nd	ACT7	uninfiltrated	unifested	2nd	fourteen
I.Unif.18.2nd	ACT7	uninfiltrated	infested	2nd	twenty-one
I.Unif.19.2nd	ACT7	uninfiltrated	unifested	2nd	fourteen
I.Unif.2.4th	ACT7	uninfiltrated	infested	4th	twenty-one
