Sample	Detector	Cq				
I.GFP.10.4th	ACT7	20.87				
I.GFP.11.2nd	ACT7	20.19				
I.GFP.11.4th	ACT7	19.99				
I.GFP.16.2nd	ACT7	20.58				
I.GFP.16.4th	ACT7	23.16				
I.GFP.17.2nd	ACT7	22.6				
I.GFP.18.4th	ACT7	20.9				
I.GFP.19.2nd	ACT7	20.53				
I.GFP.2.2nd	ACT7	21.24				
I.GFP.21.2nd	ACT7	20.76				
I.GFP.22.2nd	ACT7	20.33				
I.GFP.22.4th	ACT7	22.07				
I.GFP.23.2nd	ACT7	19.45				
I.GFP.24.2nd	ACT7	21.4				
I.GFP.25.4th	ACT7	21.13				
I.GFP.26.4th	ACT7	21.58				
I.GFP.27.2nd	ACT7	22.25				
I.GFP.27.4th	ACT7	21.15				
I.GFP.3.2nd	ACT7	21.97				
I.GFP.4.4th	ACT7	22.95				
I.GFP.5.2nd	ACT7	21.41				
I.GFP.7.2nd	ACT7	20.23				
I.GFP.8.4th	ACT7	23.15				
I.GFP.9.2nd	ACT7	21.66				
I.GFP.9.4th	ACT7	21.04				
I.GFP.10.4th	PP2A1	26.26				
I.GFP.11.2nd	PP2A1	26.44				
I.GFP.11.4th	PP2A1	26.06				
I.GFP.16.2nd	PP2A1	26.64				
I.GFP.16.4th	PP2A1	29.7				
I.GFP.17.2nd	PP2A1	28.64				
I.GFP.18.4th	PP2A1	26.56				
I.GFP.19.2nd	PP2A1	26.23				
I.GFP.2.2nd	PP2A1	26.41				
I.GFP.21.2nd	PP2A1	27.13				
I.GFP.22.2nd	PP2A1	26.23				
I.GFP.22.4th	PP2A1	28.67				
I.GFP.23.2nd	PP2A1	26.16				
I.GFP.24.2nd	PP2A1	27.04				
I.GFP.25.4th	PP2A1	27.29				
I.GFP.26.4th	PP2A1	26.8				
I.GFP.27.2nd	PP2A1	27.83				
I.GFP.27.4th	PP2A1	26.89				
I.GFP.3.2nd	PP2A1	27.71				
I.GFP.4.4th	PP2A1	28.96				
I.GFP.5.2nd	PP2A1	27.3				
I.GFP.7.2nd	PP2A1	25.91				
I.GFP.8.4th	PP2A1	29.18				
I.GFP.9.2nd	PP2A1	27.29				
I.GFP.9.4th	PP2A1	26.87				
I.GFP.10.4th	TMN5	28.34				
I.GFP.11.2nd	TMN5	29.99				
I.GFP.11.4th	TMN5	28.46				
I.GFP.16.2nd	TMN5	29.65				
I.GFP.16.4th	TMN5	32.24				
I.GFP.17.2nd	TMN5	31.41				
I.GFP.18.4th	TMN5	28.83				
I.GFP.19.2nd	TMN5	30.88				
I.GFP.2.2nd	TMN5	29.56				
I.GFP.21.2nd	TMN5	29.75				
I.GFP.22.2nd	TMN5	28.89				
I.GFP.22.4th	TMN5	31.49				
I.GFP.23.2nd	TMN5	29.03				
I.GFP.24.2nd	TMN5	30.31				
I.GFP.25.4th	TMN5	29.56				
I.GFP.26.4th	TMN5	30.82				
I.GFP.27.2nd	TMN5	32.05				
I.GFP.27.4th	TMN5	31.3				
I.GFP.3.2nd	TMN5	31.58				
I.GFP.4.4th	TMN5	32.26				
I.GFP.5.2nd	TMN5	29.51				
I.GFP.7.2nd	TMN5	30.39				
I.GFP.8.4th	TMN5	32.14				
I.GFP.9.2nd	TMN5	30.04				
I.GFP.9.4th	TMN5	29.5				
I.GFP.10.4th	UBQ14	26.53				
I.GFP.11.2nd	UBQ14	22.07				
I.GFP.11.4th	UBQ14	25.77				
I.GFP.16.2nd	UBQ14	26.16				
I.GFP.16.4th	UBQ14	29.65				
I.GFP.17.2nd	UBQ14	28.7				
I.GFP.18.4th	UBQ14	21.6				
I.GFP.19.2nd	UBQ14	26.39				
I.GFP.2.2nd	UBQ14	26.41				
I.GFP.21.2nd	UBQ14	22.11				
I.GFP.22.2nd	UBQ14	26.11				
I.GFP.22.4th	UBQ14	28.66				
I.GFP.23.2nd	UBQ14	25.74				
I.GFP.24.2nd	UBQ14	26.89				
I.GFP.25.4th	UBQ14	27.72				
I.GFP.26.4th	UBQ14	22.45				
I.GFP.27.2nd	UBQ14	28.26				
I.GFP.27.4th	UBQ14	27.12				
I.GFP.3.2nd	UBQ14	28.05				
I.GFP.4.4th	UBQ14	28.13				
I.GFP.5.2nd	UBQ14	22.28				
I.GFP.7.2nd	UBQ14	26.02				
I.GFP.8.4th	UBQ14	29.56				
I.GFP.9.2nd	UBQ14	27.01				
I.GFP.9.4th	UBQ14	26.81				
I.GFP.10.4th	UBQ7	21.16				
I.GFP.11.2nd	UBQ7	26.27				
I.GFP.11.4th	UBQ7	22.23				
I.GFP.16.2nd	UBQ7	21.51				
I.GFP.16.4th	UBQ7	25.1				
I.GFP.17.2nd	UBQ7	23.72				
I.GFP.18.4th	UBQ7	26.13				
I.GFP.19.2nd	UBQ7	22.46				
I.GFP.2.2nd	UBQ7	21.58				
I.GFP.21.2nd	UBQ7	26.33				
I.GFP.22.2nd	UBQ7	21.1				
I.GFP.22.4th	UBQ7	23.95				
I.GFP.23.2nd	UBQ7	20.42				
I.GFP.24.2nd	UBQ7	21.98				
I.GFP.25.4th	UBQ7	22.66				
I.GFP.26.4th	UBQ7	27.52				
I.GFP.27.2nd	UBQ7	23.87				
I.GFP.27.4th	UBQ7	22.75				
I.GFP.3.2nd	UBQ7	23.59				
I.GFP.4.4th	UBQ7	23.84				
I.GFP.5.2nd	UBQ7	26.57				
I.GFP.7.2nd	UBQ7	21.48				
I.GFP.8.4th	UBQ7	24.16				
I.GFP.9.2nd	UBQ7	22.71				
I.GFP.9.4th	UBQ7	22.04				
