Sample	Detector	Cq
I.Unif.1.2nd	ACT7	23.05
I.Unif.1.4th	ACT7	21.05
I.Unif.11.2nd	ACT7	21.18
I.Unif.12.2nd	ACT7	21.86
I.Unif.12.4th	ACT7	22.96
I.Unif.13.2nd	ACT7	22.35
I.Unif.15.2nd	ACT7	21.37
I.Unif.18.2nd	ACT7	20.41
I.Unif.19.2nd	ACT7	20.81
I.Unif.2.4th	ACT7	21.16
I.Unif.20.2nd	ACT7	21.47
I.Unif.23.2nd	ACT7	22.51
I.Unif.24.2nd	ACT7	23.78
I.Unif.3.2nd	ACT7	20.42
I.Unif.7.2nd	ACT7	20.69
I.Unif.7.4th	ACT7	20.9
I.Unif.8.2nd	ACT7	22.12
I.Unif.9.2nd	ACT7	20.66
Unif.21.2nd	ACT7	20.93
I.Unif.1.2nd	PP2A1	30.73
I.Unif.1.4th	PP2A1	27.12
I.Unif.11.2nd	PP2A1	26.72
I.Unif.12.2nd	PP2A1	28.08
I.Unif.12.4th	PP2A1	29.29
I.Unif.13.2nd	PP2A1	28.47
I.Unif.15.2nd	PP2A1	27.83
I.Unif.18.2nd	PP2A1	26.79
I.Unif.19.2nd	PP2A1	26.97
I.Unif.2.4th	PP2A1	26.95
I.Unif.20.2nd	PP2A1	26.82
I.Unif.23.2nd	PP2A1	28.6
I.Unif.24.2nd	PP2A1	30.29
I.Unif.3.2nd	PP2A1	27.39
I.Unif.7.2nd	PP2A1	26.5
I.Unif.7.4th	PP2A1	26.71
I.Unif.8.2nd	PP2A1	28.22
I.Unif.9.2nd	PP2A1	26.62
Unif.21.2nd	PP2A1	26.87
I.Unif.1.2nd	TMN5	32.72
I.Unif.1.4th	TMN5	29.67
I.Unif.11.2nd	TMN5	30.11
I.Unif.12.2nd	TMN5	30.97
I.Unif.12.4th	TMN5	31.66
I.Unif.13.2nd	TMN5	30.66
I.Unif.15.2nd	TMN5	31.99
I.Unif.18.2nd	TMN5	29.36
I.Unif.19.2nd	TMN5	30.62
I.Unif.2.4th	TMN5	29.74
I.Unif.20.2nd	TMN5	29.87
I.Unif.23.2nd	TMN5	31.74
I.Unif.24.2nd	TMN5	33.25
I.Unif.3.2nd	TMN5	30.25
I.Unif.7.2nd	TMN5	30.78
I.Unif.7.4th	TMN5	30.55
I.Unif.8.2nd	TMN5	31.6
I.Unif.9.2nd	TMN5	30.21
Unif.21.2nd	TMN5	29.2
I.Unif.1.2nd	UBQ14	29.27
I.Unif.1.4th	UBQ14	27.1
I.Unif.11.2nd	UBQ14	27.38
I.Unif.12.2nd	UBQ14	27.4
I.Unif.12.4th	UBQ14	30.1
I.Unif.13.2nd	UBQ14	23.51
I.Unif.15.2nd	UBQ14	28.18
I.Unif.18.2nd	UBQ14	21.92
I.Unif.19.2nd	UBQ14	26.88
I.Unif.2.4th	UBQ14	27.1
I.Unif.20.2nd	UBQ14	27.04
I.Unif.23.2nd	UBQ14	22.83
I.Unif.24.2nd	UBQ14	29.17
I.Unif.3.2nd	UBQ14	26.29
I.Unif.7.2nd	UBQ14	26.94
I.Unif.7.4th	UBQ14	27.54
I.Unif.8.2nd	UBQ14	27.27
I.Unif.9.2nd	UBQ14	26.34
Unif.21.2nd	UBQ14	26.3
I.Unif.1.2nd	UBQ7	28.72
I.Unif.1.4th	UBQ7	21.15
I.Unif.11.2nd	UBQ7	22.13
I.Unif.12.2nd	UBQ7	22.79
I.Unif.12.4th	UBQ7	24.75
I.Unif.13.2nd	UBQ7	27.73
I.Unif.15.2nd	UBQ7	23.32
I.Unif.18.2nd	UBQ7	25.97
I.Unif.19.2nd	UBQ7	21.02
I.Unif.2.4th	UBQ7	21.37
I.Unif.20.2nd	UBQ7	21.39
I.Unif.23.2nd	UBQ7	28.19
I.Unif.24.2nd	UBQ7	24.72
I.Unif.3.2nd	UBQ7	22.08
I.Unif.7.2nd	UBQ7	22.29
I.Unif.7.4th	UBQ7	21.5
I.Unif.8.2nd	UBQ7	23.78
I.Unif.9.2nd	UBQ7	21.93
Unif.21.2nd	UBQ7	21.48
