Sample	Group	Gene	Ct
I.GFP.25.4th	all	ACT7	21.13
I.GFP.25.4th	all	PP2A1	27.29
I.GFP.25.4th	all	TMN5	29.56
I.GFP.25.4th	all	UBQ14	27.72
I.GFP.25.4th	all	UBQ7	22.66
I.GFP.5.2nd	all	ACT7	21.41
I.GFP.5.2nd	all	PP2A1	27.3
I.GFP.5.2nd	all	TMN5	29.51
I.GFP.5.2nd	all	UBQ14	22.28
I.GFP.5.2nd	all	UBQ7	26.57
I.GFP.9.2nd	all	ACT7	21.66
I.GFP.9.2nd	all	PP2A1	27.29
I.GFP.9.2nd	all	TMN5	30.04
I.GFP.9.2nd	all	UBQ14	27.01
I.GFP.9.2nd	all	UBQ7	22.71
I.GFP.9.4th	all	ACT7	21.04
I.GFP.9.4th	all	PP2A1	26.87
I.GFP.9.4th	all	TMN5	29.5
I.GFP.9.4th	all	UBQ14	26.81
I.GFP.9.4th	all	UBQ7	22.04
I.Unif.11.2nd	all	ACT7	21.18
I.Unif.11.2nd	all	PP2A1	26.72
I.Unif.11.2nd	all	TMN5	30.11
I.Unif.11.2nd	all	UBQ14	27.38
I.Unif.11.2nd	all	UBQ7	22.13
I.Unif.15.2nd	all	ACT7	21.37
I.Unif.15.2nd	all	PP2A1	27.83
I.Unif.15.2nd	all	TMN5	31.99
I.Unif.15.2nd	all	UBQ14	28.18
I.Unif.15.2nd	all	UBQ7	23.32
I.Unif.19.2nd	all	ACT7	20.81
I.Unif.19.2nd	all	PP2A1	26.97
I.Unif.19.2nd	all	TMN5	30.62
I.Unif.19.2nd	all	UBQ14	26.88
I.Unif.19.2nd	all	UBQ7	21.02
I.Unif.23.2nd	all	ACT7	22.51
I.Unif.23.2nd	all	PP2A1	28.6
I.Unif.23.2nd	all	TMN5	31.74
I.Unif.23.2nd	all	UBQ14	22.83
I.Unif.23.2nd	all	UBQ7	28.19
I.Unif.3.2nd	all	ACT7	20.42
I.Unif.3.2nd	all	PP2A1	27.39
I.Unif.3.2nd	all	TMN5	30.25
I.Unif.3.2nd	all	UBQ14	26.29
I.Unif.3.2nd	all	UBQ7	22.08
I.Unif.7.2nd	all	ACT7	20.69
I.Unif.7.2nd	all	PP2A1	26.5
I.Unif.7.2nd	all	TMN5	30.78
I.Unif.7.2nd	all	UBQ14	26.94
I.Unif.7.2nd	all	UBQ7	22.29
I.Unif.7.4th	all	ACT7	20.9
I.Unif.7.4th	all	PP2A1	26.71
I.Unif.7.4th	all	TMN5	30.55
I.Unif.7.4th	all	UBQ14	27.54
I.Unif.7.4th	all	UBQ7	21.5
I.Unif.11.2nd	all	ACT7	21.18
I.Unif.11.2nd	all	PP2A1	26.72
I.Unif.11.2nd	all	TMN5	30.11
I.Unif.11.2nd	all	UBQ14	27.38
I.Unif.11.2nd	all	UBQ7	22.13
I.Unif.15.2nd	all	ACT7	21.37
I.Unif.15.2nd	all	PP2A1	27.83
I.Unif.15.2nd	all	TMN5	31.99
I.Unif.15.2nd	all	UBQ14	28.18
I.Unif.15.2nd	all	UBQ7	23.32
I.Unif.19.2nd	all	ACT7	20.81
I.Unif.19.2nd	all	PP2A1	26.97
I.Unif.19.2nd	all	TMN5	30.62
I.Unif.19.2nd	all	UBQ14	26.88
I.Unif.19.2nd	all	UBQ7	21.02
I.Unif.23.2nd	all	ACT7	22.51
I.Unif.23.2nd	all	PP2A1	28.6
I.Unif.23.2nd	all	TMN5	31.74
I.Unif.23.2nd	all	UBQ14	22.83
I.Unif.23.2nd	all	UBQ7	28.19
I.Unif.3.2nd	all	ACT7	20.42
I.Unif.3.2nd	all	PP2A1	27.39
I.Unif.3.2nd	all	TMN5	30.25
I.Unif.3.2nd	all	UBQ14	26.29
I.Unif.3.2nd	all	UBQ7	22.08
I.Unif.7.2nd	all	ACT7	20.69
I.Unif.7.2nd	all	PP2A1	26.5
I.Unif.7.2nd	all	TMN5	30.78
I.Unif.7.2nd	all	UBQ14	26.94
I.Unif.7.2nd	all	UBQ7	22.29
I.Unif.7.4th	all	ACT7	20.9
I.Unif.7.4th	all	PP2A1	26.71
I.Unif.7.4th	all	TMN5	30.55
I.Unif.7.4th	all	UBQ14	27.54
I.Unif.7.4th	all	UBQ7	21.5
I.GFP.11.2nd	all	ACT7	20.19
I.GFP.11.2nd	all	PP2A1	26.44
I.GFP.11.2nd	all	TMN5	29.99
